Cyclic dependency,X1(1),X2(2),X0(3),X3(3)
God component,X1(1),X2(2),X0(3),X3(3)
Ambiguous interface,X2(1),X3(1),X1(1),X0(2)
Feature concentration,X1(1),X2(2),X3(3),X0(3)
Unstable dependency,X1(1),X2(2),X0(3),X3(3)
Scattered functionality,0(1),2(1),1(1),3(1)
Dense structure,X1(1),X2(2),X0(2),X3(2)
Imperative abstraction,X1(1),X3(2),X2(2),X0(3)
Multifaceted abstraction,X1(1),X3(1),X2(1),X0(1)
Unnecessary abstraction,X1(1),X2(1),X3(1),X0(2)
Unutilized abstraction,X1(1),X2(1),X3(2),X0(2)
Feature envy,X1(1),X2(1),X3(2),X0(2)
Deficient encapsulation,X1(1),X2(2),X0(3),X3(3)
Unexploited encapsulation,X1(1),X2(2),X3(3),X0(3)
Broken modularization,X2(1),X1(1),X3(2),X0(2)
Cyclically-dependent modularization,X1(1),X2(2),X0(3),X3(3)
Hub-like modularization,X1(1),X2(2),X0(3),X3(3)
Insufficient modularization,X1(1),X2(2),X0(3),X3(3)
Broken hierarchy,X1(1),X2(2),X3(3),X0(3)
Cyclic hierarchy,X1(1),X2(2),X0(3),X3(3)
Deep hierarchy,X2(1),X1(1),X0(2),X3(2)
Missing hierarchy,X1(1),X2(2),X3(3),X0(3)
Multipath hierarchy,X1(1),X2(1),X0(2),X3(3)
Rebellious hierarch,X2(1),X1(2),X0(3),X3(3)
Wide hierarchy,X1(1),X2(2),X0(3),X3(3)
Abstract function call from constructor,X1(1),X2(2),X3(3),X0(3)
Complex conditional,X1(1),X2(2),X3(3),X0(3)
Complex method,X1(1),X2(2),X0(3),X3(3)
Empty catch clause,X1(1),X2(1),X3(1),X0(1)
Long identifier,X1(1),X2(2),X0(3),X3(4)
Long method,X1(1),X2(2),X0(3),X3(3)
Long parameter list,X1(1),X2(2),X0(3),X3(3)
Long statement,X1(1),X2(2),X3(3),X0(3)
Magic number,X1(1),X2(2),X0(3),X3(3)
Missing default,X1(1),X2(2),X0(3),X3(3)
